index,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
166,57G1224,407796,424177,1,16/07/2018,1200,A,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight,Female,2,,,,,,,,,,,,,,,,,,,,,,,,,
167,57H0345,405287,423436,2,17/07/2018,741,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,38,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
168,57I0434,414673,424239,1,18/07/2018,850,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,34,,,,,,,,,,,,,,,,,,,,,,,,,
169,57I1719,415130,422808,3,18/07/2018,1923,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
170,57J1579,408419,422736,2,19/07/2018,1745,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22,Car,Driver or rider,Slight,Female,41,,,,,,,,,,,,,,,,,,,,
171,57J2063,414695,423140,2,19/07/2018,1800,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,15,Car,Vehicle or pillion passenger,Slight,Male,10,,Vehicle or pillion passenger,Slight,Male,16,,,,,,,,,,,,,,,
172,57K0916,393400,421421,2,20/07/2018,1255,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,48,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
173,57L0209,392752,425185,2,21/07/2018,209,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,41,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
174,57M1391,409990,427395,2,22/07/2018,1610,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,54,Motorcycle over 125cc and up to 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
175,57O0694,408096,427373,2,24/07/2018,1110,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,4,Car,Vehicle or pillion passenger,Slight,Male,6,,Vehicle or pillion passenger,Slight,Female,1,,,,,,,,,,,,,,,
176,57O1378,400382,415879,1,24/07/2018,1620,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,23,,Vehicle or pillion passenger,Slight,Male,20,,,,,,,,,,,,,,,,,,,,
177,57Q0706,406700,424760,2,26/07/2018,1105,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,38,Car,Driver or rider,Slight,Female,50,,,,,,,,,,,,,,,,,,,,
178,57Q1776,408336,424978,2,26/07/2018,1917,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
179,57R0526,400802,425242,1,27/07/2018,930,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,67,,,,,,,,,,,,,,,,,,,,,,,,,
180,57R1301,409864,425692,2,27/07/2018,1545,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,29,Car,Vehicle or pillion passenger,Slight,Female,7,,,,,,,,,,,,,,,,,,,,
181,57T0064,409775,423193,2,29/07/2018,30,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,48,Car,Vehicle or pillion passenger,Slight,Female,64,,Vehicle or pillion passenger,Slight,Female,35,,Vehicle or pillion passenger,Slight,Female,57,,Vehicle or pillion passenger,Slight,Female,30,,,,,
182,57T0451,409907,424473,1,08/07/2018,450,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,13,,Vehicle or pillion passenger,Slight,Female,16,,,,,,,,,,,,,,,,,,,,
183,5811855,397872,426801,2,01/08/2018,2000,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,41,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
184,5821089,399472,414930,1,02/08/2018,1420,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,59,,,,,,,,,,,,,,,,,,,,,,,,,
185,5851091,405997,423754,1,05/08/2018,1945,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,30,,,,,,,,,,,,,,,,,,,,,,,,,
186,5870365,401128,427190,2,07/08/2018,718,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,64,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
187,5881724,400802,425228,2,08/08/2018,2023,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Serious,Male,45,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
188,5891292,412578,425500,1,09/08/2018,1710,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,44,,,,,,,,,,,,,,,,,,,,,,,,,
189,58B0512,417800,420995,3,11/08/2018,855,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,60,Car,Vehicle or pillion passenger,Fatal,Female,78,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
190,58D1504,412459,425425,2,13/08/2018,1750,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight,Female,47,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
191,58F0131,409187,425883,1,15/08/2018,130,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,26,,,,,,,,,,,,,,,,,,,,,,,,,
192,58H1527,407646,429913,2,17/08/2018,1742,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight,Male,43,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
193,58I1293,395047,424561,1,18/08/2018,1520,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,6,,,,,,,,,,,,,,,,,,,,,,,,,
194,58J1999,414167,423936,4,19/08/2018,2211,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,23,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
195,58K0262,404371,421123,1,20/08/2018,610,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Female,45,,,,,,,,,,,,,,,,,,,,,,,,,
196,58L1641,416761,422653,2,21/08/2018,1755,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,83,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
197,58M1563,407599,424853,4,22/08/2018,1800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,18,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
198,58M1993,414613,421684,2,22/08/2018,2136,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,40,Car,Driver or rider,Slight,Male,76,,Vehicle or pillion passenger,Slight,Female,80,,,,,,,,,,,,,,,
199,58O0927,399291,414890,3,24/08/2018,1345,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,47,Car,Vehicle or pillion passenger,Slight,Female,6,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
200,58O1004,399517,418440,1,24/08/2018,1425,Unclassified,Dry,Daylight: street lights present,Fine without high winds,M/cycle 50cc and under,Driver or rider,Slight,Male,16,,,,,,,,,,,,,,,,,,,,,,,,,
201,58P1039,411080,420864,2,25/08/2018,1409,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,49,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
202,58Q1253,412961,429052,2,26/08/2018,1613,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,38,Minibus (8 – 16 passenger seats),Vehicle or pillion passenger,Slight,Male,22,,,,,,,,,,,,,,,,,,,,
203,58T0966,406395,423558,2,29/08/2018,1421,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,81,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
204,58U0255,409844,422474,1,30/08/2018,645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,32,,,,,,,,,,,,,,,,,,,,,,,,,
205,5920988,406893,430737,2,02/09/2018,1252,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,12,Car,Vehicle or pillion passenger,Slight,Female,16,,Vehicle or pillion passenger,Slight,Male,16,,,,,,,,,,,,,,,
206,5921067,416491,422162,1,02/09/2018,1328,Motorway,Dry,Daylight: street lights present,Fine without high winds,Other Vehicle ,Driver or rider,Serious,Male,44,,,,,,,,,,,,,,,,,,,,,,,,,
207,5930341,416364,422128,3,03/09/2018,738,Motorway,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,Driver or rider,Slight,Male,21,Car,Driver or rider,Slight,Female,22,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,
208,5961432,410022,422709,2,06/09/2018,1848,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Female,54,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
209,5961845,403506,419188,1,06/09/2018,2230,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,50,,,,,,,,,,,,,,,,,,,,,,,,,
210,5971462,416401,422144,2,07/09/2018,1711,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,53,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
211,59A2121,413701,423255,1,10/09/2018,2333,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Serious,Male,41,,,,,,,,,,,,,,,,,,,,,,,,,
212,59C0649,404289,420314,1,12/09/2018,1143,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,40,,,,,,,,,,,,,,,,,,,,,,,,,
213,59C1950,407900,425077,4,12/09/2018,2100,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,15,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,
214,59D0245,409439,420994,2,13/09/2018,749,B,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,29,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
215,59D1742,406209,423680,2,13/09/2018,2102,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,43,Car,Vehicle or pillion passenger,Slight,Male,32,,,,,,,,,,,,,,,,,,,,
216,59E0388,400784,419070,1,14/09/2018,843,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,18,,,,,,,,,,,,,,,,,,,,,,,,,
217,59F2180,398833,427221,1,15/09/2018,2200,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,58,,,,,,,,,,,,,,,,,,,,,,,,,
218,59G1340,408463,423611,2,16/09/2018,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,47,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
219,59I0302,409123,425243,2,18/09/2018,805,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,40,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
220,59L0862,405915,423110,2,21/09/2018,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
221,59L1665,416958,423798,3,21/09/2018,2100,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Taxi/Private hire car,Driver or rider,Slight,Female,80,Taxi/Private hire car,not known,not known,not known,not known,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw,not known,not known,not known,not known,,,,,,,,,,,,,,,
222,59M0598,403744,416449,4,22/09/2018,1010,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45,Car,Driver or rider,Slight,Male,60,Car,Vehicle or pillion passenger,Slight,Female,15,Car,Vehicle or pillion passenger,Slight,Female,17,,,,,,,,,,
223,59M0718,409220,425215,1,22/09/2018,1113,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,79,,,,,,,,,,,,,,,,,,,,,,,,,
224,59M0959,415038,422848,2,22/09/2018,1320,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,54,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
225,59N0678,414086,423185,2,23/09/2018,1050,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,70,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
226,59O1018,409112,427763,1,24/09/2018,1449,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22,,Vehicle or pillion passenger,Slight,Male,2,,Vehicle or pillion passenger,Slight,Male,1,,,,,,,,,,,,,,,
227,59Q1537,401528,419136,2,26/09/2018,1825,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,40,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
228,59R0430,414756,422827,2,27/09/2018,830,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Male,21,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
229,59S0421,408495,424686,1,28/09/2018,920,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,16,,,,,,,,,,,,,,,,,,,,,,,,,
230,59S1068,401780,415735,4,28/09/2018,1519,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,27,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
231,59S1561,405812,423419,2,28/09/2018,1715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,55,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
232,59T1318,406144,423653,1,29/09/2018,1500,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,77,,,,,,,,,,,,,,,,,,,,,,,,,
233,59T1937,407830,424196,1,29/09/2018,2107,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Fatal,Male,41,,,,,,,,,,,,,,,,,,,,,,,,,
234,5A10776,408515,426563,1,01/10/2018,1900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,30,,,,,,,,,,,,,,,,,,,,,,,,,
235,5A20355,406512,424836,1,02/10/2018,907,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,71,,,,,,,,,,,,,,,,,,,,,,,,,
236,5A20653,408857,426837,3,02/10/2018,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,35,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
237,5A51538,390809,426254,2,05/10/2018,1738,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
238,5A60931,408597,425927,1,06/10/2018,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,22,,Vehicle or pillion passenger,Slight,Female,21,,Vehicle or pillion passenger,Slight,Female,26,,,,,,,,,,,,,,,
239,5A80001,412459,425485,2,08/10/2018,1035,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,30,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
240,5A81210,398774,414784,2,08/10/2018,1615,A,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,31,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
241,5A81323,398720,414672,2,08/10/2018,1710,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,53,Car,Driver or rider,Slight,Male,32,,,,,,,,,,,,,,,,,,,,
242,5AA1133,409870,422050,2,10/10/2018,1515,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,60,Motorcycle over 500cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
243,5AB0265,401618,415663,3,11/10/2018,711,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,28,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
244,5AC0522,406457,420542,2,12/10/2018,1009,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,36,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
245,5AD1426,407271,428620,2,13/10/2018,1520,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,19,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
246,5AE1192,407720,426582,1,14/10/2018,1541,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Slight,Female,23,,,,,,,,,,,,,,,,,,,,,,,,,
247,5AE1537,409930,420282,2,14/10/2018,2125,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,46,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
248,5AF0225,403913,416552,2,15/10/2018,638,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,54,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
249,5AI0401,409340,425046,1,17/10/2018,1429,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,71,,,,,,,,,,,,,,,,,,,,,,,,,
250,5AI0580,409211,425445,2,18/10/2018,1115,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,25,Car,Vehicle or pillion passenger,Slight,Male,5,,,,,,,,,,,,,,,,,,,,
251,5AI0806,408640,423513,2,18/10/2018,1329,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 125cc and up to 500cc,Driver or rider,Slight,Male,60,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
252,5AJ0953,407985,423186,2,19/10/2018,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,40,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
253,5AJ1455,411567,419653,2,19/10/2018,1819,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,48,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
254,5AK1374,408665,425248,2,20/10/2018,1527,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,51,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
255,5AM0474,408154,423810,2,22/10/2018,1028,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,33,Goods vehicle 3.5 tonnes mgw and under,Vehicle or pillion passenger,Slight,Female,30,,Driver or rider,Slight,Male,49,,Vehicle or pillion passenger,Slight,Male,56,,,,,,,,,,
256,5AM1129,405838,423431,2,22/10/2018,1537,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,55,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
257,5AM1182,392429,423237,1,22/10/2018,1612,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,60,,,,,,,,,,,,,,,,,,,,,,,,,
258,5AM1312,407494,426418,2,22/10/2018,1655,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,51,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
259,5AO0252,393525,423942,1,24/10/2018,709,A,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,25,,,,,,,,,,,,,,,,,,,,,,,,,
260,5AO1120,408935,426790,2,24/10/2018,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,32,Car,Driver or rider,Slight,Male,32,,Vehicle or pillion passenger,Slight,Female,42,,,,,,,,,,,,,,,
261,5AO1575,411467,420463,2,24/10/2018,1815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,8,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
262,5AP0984,409970,420542,3,25/10/2018,1414,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,87,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
263,5AQ0478,414451,423821,2,26/10/2018,910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,34,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
264,5B51092,414133,422322,1,05/11/2018,1515,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,4,,,,,,,,,,,,,,,,,,,,,,,,,
265,5B61029,408389,426741,2,06/11/2018,1354,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,40,Bus or coach (17 or more passenger seats),not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
266,5B70355,406713,428999,2,07/11/2018,900,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Driver or rider,Slight,Female,44,Car,Vehicle or pillion passenger,Slight,Male,10,,,,,,,,,,,,,,,,,,,,
267,5B71785,409916,424782,1,07/11/2018,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,38,,,,,,,,,,,,,,,,,,,,,,,,,
268,5B81395,406357,425279,1,08/11/2018,1722,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,33,,,,,,,,,,,,,,,,,,,,,,,,,
269,5B81742,406678,424150,2,08/11/2018,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,49,Pedal cycle,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
270,5B91337,406864,425696,2,09/11/2018,1711,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Male,32,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
271,5BA1186,407388,425510,2,10/11/2018,1650,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,42,Car,Vehicle or pillion passenger,Slight,Female,12,,,,,,,,,,,,,,,,,,,,
272,5BA1453,404998,424164,2,10/11/2018,1819,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,27,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
273,5BD1206,404164,422585,2,13/11/2018,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,38,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
274,5BD1869,406331,423732,2,13/11/2018,2053,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,22,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
275,5BG0100,405895,423524,1,16/11/2018,154,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Male,61,,,,,,,,,,,,,,,,,,,,,,,,,
276,5BJ1430,414676,424239,2,19/11/2018,1430,A,Dry,Daylight: street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,15,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
277,5BK0232,401471,415581,6,20/11/2018,638,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Slight,Male,54,Car,Driver or rider,Slight,Male,40,Car,Driver or rider,Slight,Male,31,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,Car,not known,not known,not known,not known
278,5BK1237,412583,425501,1,20/11/2018,1725,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Male,45,,,,,,,,,,,,,,,,,,,,,,,,,
279,5BM0656,402095,415831,5,22/11/2018,1230,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,33,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,
280,5BM1089,411533,427352,1,22/11/2018,1621,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Pedestrian,Serious,Female,88,,,,,,,,,,,,,,,,,,,,,,,,,
281,5BM1195,411102,420727,1,22/11/2018,1710,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Pedestrian,Serious,Female,23,,,,,,,,,,,,,,,,,,,,,,,,,
